Device,Current (mA),Timestamp
INA219,11.200,2022-06-16 18:12:50.673545+00:00
INA219,11.200,2022-06-16 18:12:51.140794+00:00
INA219,11.000,2022-06-16 18:12:51.700374+00:00
INA219,11.400,2022-06-16 18:12:52.165845+00:00
INA219,11.200,2022-06-16 18:12:52.727043+00:00
INA219,11.000,2022-06-16 18:12:53.182127+00:00
INA219,11.000,2022-06-16 18:12:53.743785+00:00
INA219,11.000,2022-06-16 18:12:54.197504+00:00
INA219,11.300,2022-06-16 18:12:54.761905+00:00
INA219,11.300,2022-06-16 18:12:55.200658+00:00
INA219,11.000,2022-06-16 18:12:55.766495+00:00
INA219,11.200,2022-06-16 18:12:56.218375+00:00
INA219,11.200,2022-06-16 18:12:56.779465+00:00
INA219,11.400,2022-06-16 18:12:57.247478+00:00
INA219,10.900,2022-06-16 18:12:57.807410+00:00
INA219,11.300,2022-06-16 18:12:58.261871+00:00
INA219,11.400,2022-06-16 18:12:58.826485+00:00
INA219,11.300,2022-06-16 18:12:59.277297+00:00
INA219,11.400,2022-06-16 18:12:59.837273+00:00
INA219,11.000,2022-06-16 18:13:00.306400+00:00
INA219,11.100,2022-06-16 18:13:00.867479+00:00
INA219,11.300,2022-06-16 18:13:01.307421+00:00
INA219,11.400,2022-06-16 18:13:01.868752+00:00
INA219,11.400,2022-06-16 18:13:02.323164+00:00
INA219,11.400,2022-06-16 18:13:02.882480+00:00
INA219,11.000,2022-06-16 18:13:03.336079+00:00
INA219,11.400,2022-06-16 18:13:03.900224+00:00
INA219,11.300,2022-06-16 18:13:04.352121+00:00
INA219,11.300,2022-06-16 18:13:04.915085+00:00
INA219,10.800,2022-06-16 18:13:05.372237+00:00
INA219,11.300,2022-06-16 18:13:05.933762+00:00
INA219,11.100,2022-06-16 18:13:06.386525+00:00
INA219,11.100,2022-06-16 18:13:06.934676+00:00
INA219,11.200,2022-06-16 18:13:07.417298+00:00
INA219,11.300,2022-06-16 18:13:07.978049+00:00
INA219,11.100,2022-06-16 18:13:08.432208+00:00
INA219,11.200,2022-06-16 18:13:08.995853+00:00
INA219,11.000,2022-06-16 18:13:09.463649+00:00
INA219,11.300,2022-06-16 18:13:10.024699+00:00
INA219,10.900,2022-06-16 18:13:10.490848+00:00
INA219,11.100,2022-06-16 18:13:11.052162+00:00
INA219,10.900,2022-06-16 18:13:11.505545+00:00
INA219,11.000,2022-06-16 18:13:12.067660+00:00
INA219,11.100,2022-06-16 18:13:12.522092+00:00
INA219,11.500,2022-06-16 18:13:13.085335+00:00
INA219,11.800,2022-06-16 18:13:13.539579+00:00
INA219,11.600,2022-06-16 18:13:14.098488+00:00
INA219,11.800,2022-06-16 18:13:14.565493+00:00
INA219,11.400,2022-06-16 18:13:15.125639+00:00
INA219,11.700,2022-06-16 18:13:15.594283+00:00
INA219,11.500,2022-06-16 18:13:16.154820+00:00
INA219,11.800,2022-06-16 18:13:16.622962+00:00
INA219,11.500,2022-06-16 18:13:17.184751+00:00
INA219,11.700,2022-06-16 18:13:17.636893+00:00
INA219,11.700,2022-06-16 18:13:18.200038+00:00
INA219,11.700,2022-06-16 18:13:18.665585+00:00
INA219,11.500,2022-06-16 18:13:19.226804+00:00
INA219,11.700,2022-06-16 18:13:19.694842+00:00
INA219,11.600,2022-06-16 18:13:20.255281+00:00
INA219,11.700,2022-06-16 18:13:20.712905+00:00
INA219,11.700,2022-06-16 18:13:21.279775+00:00
INA219,11.600,2022-06-16 18:13:21.720074+00:00
INA219,11.800,2022-06-16 18:13:22.278953+00:00
INA219,11.600,2022-06-16 18:13:22.746829+00:00
INA219,11.900,2022-06-16 18:13:23.308064+00:00
INA219,11.700,2022-06-16 18:13:23.775592+00:00
INA219,11.600,2022-06-16 18:13:24.337577+00:00
INA219,11.600,2022-06-16 18:13:24.791662+00:00
INA219,11.700,2022-06-16 18:13:25.359462+00:00
INA219,11.700,2022-06-16 18:13:25.810970+00:00
INA219,11.700,2022-06-16 18:13:26.372077+00:00
